id,name,type,region,minx,miny,maxx,maxy,acres,state,lon,lat,DungenessCrab,BayShrimp,GreenSturgeon,LeopardShark,BatRay,CaliforniaHalibut,EnglishSole,StarryFlounder,ShinerPerch,StaghornSculpin,PacificHerring,BrownRockfish,Steelhead,CohoSalmon,ChinookSalmon,SoKJoin,NFHPJoin,Rating_2015,biotic_acres
1097,Mill Creek,Riverine Estuary,Salish Sea,-123.0,47.19,-122.99,47.2,32,WA,-122.997,47.197,JP,JP,,,,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,2,2,2.5:12.39|2.6:0.32|2.6.1.1:1.02|2.7:0.41|2.8:8.94
1098,Goldsborough Creek,Riverine Estuary,Salish Sea,-123.1,47.21,-123.08,47.22,213,WA,-123.088,47.209,JP,JP,,,,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,2,2,2.5:6.33|2.6:3.39|2.7:0.62|2.8:0.66
1099,Campbell Creek / Chapman Cove,Embayment/Bay,Salish Sea,-123.05,47.22,-123.02,47.23,180,WA,-123.037,47.225,JP,JP,,,,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,2,2,2.5:99.09|2.6:2.16|2.6.1:9.66|2.6.1.1:39.63|2.7:0.56|2.8:1.07|2.8.1:3.06
1100,Oakland Bay,Embayment/Bay,Salish Sea,-123.05,47.24,-123.01,47.26,691,WA,-123.027,47.253,JP,JP,,,,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,2,2,2.5:408.98|2.6:12.56|2.6.1.1:52.02|2.7:2.83|2.8:13.26
1101,West Harstine Island,Embayment/Bay,Salish Sea,-122.92,47.22,-122.91,47.22,27,WA,-122.916,47.223,JP,JP,,,,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,3,2,2.6:0.06|2.8:0.68
1102,Whiteman Cove,Lagoonal Estuary,Salish Sea,-122.81,47.22,-122.8,47.22,35,WA,-122.803,47.22,JP,JP,,,,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,3,2,2.6:0.71|2.7:0.66|2.8:3.14
1103,Herron,Embayment/Bay,Salish Sea,-122.82,47.27,-122.81,47.28,38,WA,-122.812,47.274,JP,JP,,,,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,3,2,2.5:11.52|2.6:0.14|2.7:0.2|2.8:1.41
1104,Jarrell Cove,Embayment/Bay,Salish Sea,-122.9,47.28,-122.88,47.29,60,WA,-122.888,47.281,JP,JP,,,,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,3,2,2.5:17.21|2.6:0.6|2.6.1.1:0.48|2.7:0.14|2.8:4.39
1105,Dutcher Cove,Embayment/Bay,Salish Sea,-122.8,47.3,-122.78,47.32,90,WA,-122.787,47.311,JP,JP,,,,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,3,2,2.5:40.34|2.6:0.67|2.7:1.54|2.8:5.9
1106,McLane Cove,Embayment/Bay,Salish Sea,-122.87,47.31,-122.86,47.32,61,WA,-122.867,47.313,JP,JP,,,,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,2,2,2.6:1.34|2.7:0.57|2.8:5.02
1107,Grapeview,Embayment/Bay,Salish Sea,-122.84,47.32,-122.84,47.33,35,WA,-122.84,47.324,JP,JP,,,,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,2,2,2.5:25.74|2.6:0.21|2.6.1.1:0.17|2.7:0.09|2.8:0.58
1108,Vaughn Bay,Embayment/Bay,Salish Sea,-122.79,47.34,-122.76,47.34,231,WA,-122.776,47.34,JP,JP,,,,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,3,2,2.5:0.58|2.6:2.43|2.7:0.96|2.8:3.01
1109,Rocky Bay,Embayment/Bay,Salish Sea,-122.81,47.35,-122.78,47.37,288,WA,-122.791,47.359,JP,JP,,,,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,3,2,2.5:92.85|2.6:4.5|2.6.1.1:9.13|2.7:1.72|2.8:4.75
1110,North Bay,Embayment/Bay,Salish Sea,-122.84,47.36,-122.81,47.41,987,WA,-122.82,47.39,JP,JP,,,,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,2,2,2.5:238.96|2.6:12.1|2.6.1.1:53.03|2.7:7.4|2.8:12.91
1111,Lynch Cove,Embayment/Bay,Salish Sea,-122.91,47.4,-122.83,47.45,1675,WA,-122.868,47.426,JP,JP,,,P,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,2,3,2.5:648.19|2.6:71.04|2.6.1.1:278.1|2.7:10.52|2.8:25.67
1112,Tahuya River,Riverine Estuary,Salish Sea,-123.06,47.36,-123.03,47.38,259,WA,-123.054,47.367,JP,JP,,,P,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,2,3,2.5:127.56|2.6:11.76|2.6.1:3.79|2.6.1.1:39.3|2.7:3.28|2.8:6.01
1113,Skokomish River,Major River Delta,Salish Sea,-123.24,47.3,-123.1,47.36,2558,WA,-123.124,47.343,JP,JP,,,P,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,2,3,2.5:1237.5|2.6:371.34|2.6.1:27.57|2.6.1.1:328.56|2.7:50.47|2.7.1:91.76|2.8:35.41
1114,Dewatto Bay,Riverine Estuary,Salish Sea,-123.07,47.45,-123.05,47.46,144,WA,-123.06,47.452,JP,JP,,,P,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,2,3,2.5:80.96|2.6:5.03|2.6.1.1:14.65|2.7:1.11|2.8:8.45
1115,Lillwaup Bay,Riverine Estuary,Salish Sea,-123.12,47.45,-123.11,47.47,80,WA,-123.115,47.464,JP,JP,,,P,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,2,3,2.5:48.59|2.6:2.69|2.6.1.1:9.12|2.7:1.66|2.8:2.83
1116,Hamma Hamma River,Major River Delta,Salish Sea,-123.06,47.54,-123.02,47.56,460,WA,-123.037,47.547,JP,JP,,,P,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,2,3,2.5:0.25|2.5.1:300.62|2.6:14.7|2.6.1.1:47.51|2.7:4.59|2.8:11.18
1117,Anderson Creek,Riverine Estuary,Salish Sea,-122.98,47.57,-122.97,47.57,79,WA,-122.973,47.568,JP,JP,,,P,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,2,3,2.5:34.4|2.6:0.47|2.6.1.1:6.41|2.7:0.12|2.8:0.14
1118,Duckabush River,Major River Delta,Salish Sea,-122.98,47.64,-122.91,47.67,507,WA,-122.927,47.646,JP,JP,,,P,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,2,3,2.5:196.78|2.6:7.05|2.6.1.1:69.58|2.7:2.75|2.7.1:1.6|2.8:21.1|2.8.1:8.71
1119,Stavis Bay,Embayment/Bay,Salish Sea,-122.88,47.62,-122.86,47.64,160,WA,-122.868,47.632,JP,JP,,,P,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,2,3,2.5:86.07|2.6:1.17|2.6.1.1:11.67|2.7:0.1|2.8:6.53
1120,Seabeck Bay,Embayment/Bay,Salish Sea,-122.84,47.64,-122.83,47.65,99,WA,-122.835,47.64,JP,JP,,,P,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,2,3,2.5:1.21|2.6:1.64|2.6.1.1:4.12|2.7:0.84|2.8:2.5
1121,Big Beef Creek,Riverine Estuary,Salish Sea,-122.79,47.65,-122.78,47.66,162,WA,-122.783,47.654,JP,JP,,,P,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,2,3,2.5:77.49|2.6:0.22|2.6.1.1:8.86|2.7:0.45|2.8:1.94
1122,Pleasant Harbor,Embayment/Bay,Salish Sea,-122.92,47.66,-122.9,47.67,40,WA,-122.91,47.665,JP,JP,,,P,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,2,3,2.6:0.45|2.7:0.2|2.8:4.92
1123,Anderson Creek,Riverine Estuary,Salish Sea,-122.77,47.66,-122.75,47.67,117,WA,-122.757,47.665,JP,JP,,,P,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,2,3,2.5:63.83|2.6:0.12|2.6.1.1:4.19|2.7:0.7|2.8:0.93
1124,Fisherman Harbor,Embayment/Bay,Salish Sea,-122.81,47.68,-122.8,47.7,57,WA,-122.802,47.69,JP,JP,,,P,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,2,3,2.5:0.61|2.6:0.47|2.7:0.48|2.8:5.77
1125,Dosewallips River,Major River Delta,Salish Sea,-122.91,47.68,-122.88,47.71,865,WA,-122.889,47.694,JP,JP,,,P,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,2,3,2.5:434.1|2.6:3.9|2.6.1.1:110.02|2.7:1.75|2.7.1:1.59|2.8:6.19|2.8.1:8.61
1126,Zelatched Point Lagoon,Lagoonal Estuary,Salish Sea,-122.82,47.71,-122.81,47.71,17,WA,-122.819,47.712,JP,JP,,,P,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,2,3,2.5:0.12|2.6:0.51|2.6.1.1:3.55|2.7:0.74|2.8:5.79
1127,Right Smart Cove,Embayment/Bay,Salish Sea,-122.88,47.73,-122.87,47.74,43,WA,-122.88,47.734,JP,JP,,,P,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,2,3,2.6:1.35|2.6.1.1:2.36|2.7:0.04|2.8:0.69
1128,Jackson Cove,Embayment/Bay,Salish Sea,-122.88,47.74,-122.86,47.75,80,WA,-122.873,47.743,JP,JP,,,P,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,2,3,2.5:43.12|2.6:1.59|2.6.1.1:3.45|2.7:0.69|2.8:3.78
1129,Bangor Lake,Lagoonal Estuary,Salish Sea,-122.74,47.73,-122.73,47.74,10,WA,-122.733,47.736,JP,JP,,,P,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,999,5,2.6:0.06|2.8:0.57
1130,Cattail Lake,Lagoonal Estuary,Salish Sea,-122.71,47.76,-122.7,47.77,12,WA,-122.708,47.768,JP,JP,,,P,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,999,5,2.6:0.04|2.7:0.43|2.8:4.58
1131,Quilcene Bay,Major River Delta,Salish Sea,-122.88,47.8,-122.84,47.83,1104,WA,-122.858,47.814,JP,JP,,,P,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,2,3,2.5:581.52|2.6:47.47|2.6.1:31.07|2.6.1.1:170.34|2.7:6.85|2.8:7.86|2.8.1:23.55
1132,Broad Spit,Lagoonal Estuary,Salish Sea,-122.82,47.81,-122.82,47.81,12,WA,-122.818,47.809,JP,JP,,,P,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,2,3,2.5:5.85|2.6:0.06|2.6.1.1:3.29|2.7:0.19|2.8:0.43
1133,Thorndyke Creek,Riverine Estuary,Salish Sea,-122.75,47.8,-122.73,47.82,274,WA,-122.741,47.812,JP,JP,,,P,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,2,3,2.5:92.86|2.6:4.08|2.6.1.1:38.85|2.7:3.68|2.7.1:8.85|2.8:2.68
1134,Tarboo Bay,Embayment/Bay,Salish Sea,-122.82,47.83,-122.8,47.86,547,WA,-122.808,47.848,JP,JP,,,P,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,2,3,2.5:272.85|2.6:10.56|2.6.1.1:53.36|2.7:5.9|2.8:6.89
1135,Port Gamble,Embayment/Bay,Salish Sea,-122.59,47.81,-122.56,47.86,451,WA,-122.575,47.82,JP,JP,,,P,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,2,3,2.5:1.4|2.6:2.44|2.6.1.1:0.81|2.7:1.32|2.8:10.71
1136,Bridgehaven,Lagoonal Estuary,Salish Sea,-122.69,47.83,-122.68,47.85,64,WA,-122.684,47.845,JP,JP,,,P,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,2,3,2.5:4.9|2.6:2.13|2.6.1.1:3.56|2.7:0.77|2.8:0.7
1137,Shine Creek,Riverine Estuary,Salish Sea,-122.7,47.86,-122.69,47.87,114,WA,-122.693,47.87,JP,JP,,,P,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,2,3,2.5:31.77|2.6:1.51|2.6.1.1:16.52|2.7:17.03|2.8:4.31|2.8.1:18.17
1138,Coon Bay,Embayment/Bay,Salish Sea,-122.59,47.9,-122.58,47.91,68,WA,-122.586,47.907,JP,JP,,,P,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,2,3,2.5:2.21|2.6:1.14|2.7:0.53|2.8:1.02
1139,Foulweather Bluff,Lagoonal Estuary,Salish Sea,-122.6,47.92,-122.6,47.92,19,WA,-122.6,47.922,JP,JP,,,P,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,2,3,2.5:13.99|2.6:3.65|2.7:0.25|2.8:0.37
1140,Twin Spits,Lagoonal Estuary,Salish Sea,-122.62,47.93,-122.61,47.94,36,WA,-122.618,47.933,JP,JP,,,P,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,2,3,2.6:0.11|2.6.1.1:29.02|2.8:0.46
1141,Port Ludlow,Embayment/Bay,Salish Sea,-122.7,47.91,-122.69,47.92,70,WA,-122.695,47.917,JP,JP,,,P,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,2,3,2.6:0.22|2.7:0.31|2.8:1.89
1142,Mats Mats Bay,Embayment/Bay,Salish Sea,-122.7,47.95,-122.68,47.96,143,WA,-122.688,47.955,JP,JP,,,P,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,2,3,2.5:44.71|2.6:2.33|2.6.1.1:0.64|2.7:0.85|2.8:1
1143,Kilisut Harbor,Embayment/Bay,Salish Sea,-122.7,48.02,-122.7,48.02,55,WA,-122.7,48.021,JP,JP,,,P,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,3,0,2.5:0.33|2.6:3.36|2.6.1.1:33.71|2.7:0.57|2.8:1.29
1144,Oak Bay,Embayment/Bay,Salish Sea,-122.73,48.02,-122.71,48.03,235,WA,-122.73,48.024,JP,JP,,,P,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,3,0,2.5:72.65|2.6:7.03|2.6.1.1:37.46|2.7:0.54|2.8:4.67
1145,Hadlock,Embayment/Bay,Salish Sea,-122.75,48.03,-122.75,48.03,68,WA,-122.751,48.029,JP,JP,,,P,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,3,0,2.5:4.09|2.6:0.34|2.6.1.1:1.6|2.7:0.35|2.8:1.68
1146,Chimacum Creek,Riverine Estuary,Salish Sea,-122.79,48.04,-122.76,48.05,89,WA,-122.769,48.049,JP,JP,,,P,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,3,0,2.5:40.95|2.6:0.75|2.6.1.1:5.19|2.7:0.83|2.8:4.7
1147,Walan Point,Lagoonal Estuary,Salish Sea,-122.75,48.07,-122.74,48.07,23,WA,-122.745,48.072,JP,JP,,,P,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,999,5,2.5:2.76|2.6:0.61|2.6.1.1:9.93|2.7:0.11
1148,Port Townsend mill,Lagoonal Estuary,Salish Sea,-122.81,48.09,-122.8,48.09,17,WA,-122.803,48.091,JP,JP,,,P,,JP,JP,JP,JP,JP,JP,JP,JP,JP,2,999,5,
1149,Salmon-Snow,Riverine Estuary,Salish Sea,-122.89,47.99,-122.87,48.0,283,WA,-122.882,47.995,JP,,,,,,P,,P,,,JP,P,P,P,1,2,5,2.5:132.56|2.6:6.91|2.6.1.1:36.25|2.7:4.63|2.7.1:2.19|2.8:3.89
1150,Gardiner,Lagoonal Estuary,Salish Sea,-122.92,48.05,-122.91,48.06,20,WA,-122.914,48.056,JP,,,,,,,,,,,JP,P,P,P,1,999,5,2.5:0.29|2.6:1.11|2.6.1.1:7.44|2.7:0.43|2.8:0.86
1151,Sequim Bay,Embayment/Bay,Salish Sea,-123.06,48.02,-123.0,48.1,3467,WA,-123.026,48.061,JP,,,,,,,,,,,,P,P,P,1,1,0,2.5:1068.38|2.6:37.87|2.6.1:6.76|2.6.1.1:45.84|2.7:7.99|2.7.1:0.78|2.8:4.89
1152,Gierin Creek,Riverine Estuary,Salish Sea,-123.09,48.1,-123.04,48.14,1185,WA,-123.07,48.115,JP,,,,,,,,,,,,P,P,P,2,999,5,2.5:109.59|2.5.1:166.09|2.6:114.87|2.7:58.35|2.8:23.3
1153,Dungeness Bay,Major River Delta,Salish Sea,-123.19,48.13,-123.07,48.18,3767,WA,-123.149,48.162,JP,,,,,,P,,P,,,,JP,JP,P,1,1,2,2.5:952.1|2.5.1:433.8|2.6:168.51|2.6.1.1:172.02|2.7:30.34|2.8:19.65|2.8.1:9.01
1154,McDonald Creek,Riverine Estuary,Salish Sea,-123.22,48.12,-123.22,48.13,30,WA,-123.218,48.124,,,,,,,,,,,,,P,P,,1,999,5,2.6:0.12|2.7:0.03|2.8:0.33|2.8.1:13.44
1155,Morse Creek,Riverine Estuary,Salish Sea,-123.36,48.11,-123.35,48.12,31,WA,-123.353,48.116,,,,,,,,,,,,,P,P,P,1,999,5,2.5:3.59|2.6:0.39|2.7:0.13|2.8:0.46
1156,The Lagoon,Lagoonal Estuary,Salish Sea,-123.47,48.13,-123.46,48.13,28,WA,-123.467,48.133,JP,,,,,,,,,,,,P,P,P,2,999,5,2.8:0.55
1157,Elwha River,Major River Delta,Salish Sea,-123.57,48.13,-123.54,48.15,331,WA,-123.564,48.146,,,,,,,,P,,P,,,JP,JP,JP,1,1,5,2.5.1:50.9|2.6:13.99|2.7:8.44|2.7.1:35.16|2.8:29.03|2.8.1:21.88
1158,Salt Creek,Riverine Estuary,Salish Sea,-123.71,48.15,-123.69,48.17,139,WA,-123.707,48.159,,,,,,,,,,,,,P,P,P,1,999,5,2.6:4.87|2.6.1.1:51.25|2.7:4.13|2.7.1:4.83|2.8:6.33
1159,East Twin River,Riverine Estuary,Salish Sea,-123.95,48.16,-123.95,48.17,14,WA,-123.947,48.165,,,,,,,,,,,,,P,P,P,1,999,5,2.6:0.01|2.8:0.45
1160,Pysht River,Riverine Estuary,Salish Sea,-124.13,48.19,-124.09,48.22,658,WA,-124.108,48.205,,,,,,,,,,,,,P,JP,P,1,999,5,2.5:6.88|2.5.1:80.54|2.6:10.21|2.6.1.1:138.9|2.7:7.23|2.8:35.76
1161,Clallam River,Riverine Estuary,Salish Sea,-124.27,48.25,-124.25,48.26,47,WA,-124.261,48.255,,,,,,,,,,,,,P,P,P,1,999,5,2.6:0.94|2.6.1.1:1.02|2.7:0.5|2.8:6.94
1162,Hoko River,Riverine Estuary,Salish Sea,-124.37,48.26,-124.35,48.29,145,WA,-124.364,48.284,,,,,,,,,,,,,P,P,P,1,1,4,2.6:1.82|2.6.1:3.53|2.7:3.29|2.8:14.88
1163,Sekiu River,Riverine Estuary,Salish Sea,-124.41,48.28,-124.39,48.29,122,WA,-124.398,48.288,,,,,,,,,,,,,P,P,P,1,999,5,2.6:2.5|2.7:7.59|2.8:8.91
1164,Bullman Creek,Riverine Estuary,Salish Sea,-124.54,48.35,-124.53,48.35,60,WA,-124.532,48.349,,,,,,,,,,,,,P,P,P,1,999,5,2.6:0.06|2.7:0.04|2.8:0.04
1165,Sail River,Riverine Estuary,Salish Sea,-124.56,48.36,-124.56,48.36,10,WA,-124.558,48.36,,,,,,,,,,,,,P,P,P,1,999,5,2.6:0.2|2.7:0.27|2.8:0.25
2000,Waatch River,Riverine Estuary,"Washington, Oregon, Northern California Coast",-124.68,48.34,-124.63,48.36,401,WA,-124.655,48.348,,,,,,,,,,,,,P,P,P,1,999,5,2.5.1:11.8|2.6:14.08|2.6.1:36.05|2.6.1.1:229.39|2.7:2.74|2.8:1.27
2001,Sooes River,Riverine Estuary,"Washington, Oregon, Northern California Coast",-124.66,48.29,-124.65,48.33,177,WA,-124.656,48.31,,,,,,,,,,,,,P,P,P,1,999,5,2.6:7.94|2.6.1.1:42.77|2.7:5.54|2.7.1:5.11|2.8:2.88
2002,Ozette River,Riverine Estuary,"Washington, Oregon, Northern California Coast",-124.71,48.18,-124.7,48.18,9,WA,-124.705,48.18,,,,,,,,,,,,,P,P,P,1,999,5,2.7:0.07|2.8:1.58
2003,Quillayute River,Riverine Estuary,"Washington, Oregon, Northern California Coast",-124.65,47.91,-124.59,47.93,466,WA,-124.635,47.918,,,,,,,,,,,,,P,P,P,1,999,5,2.6:12.26|2.6.1:16.61|2.6.1.1:11.48|2.7:25.73|2.8:79.78|2.8.1:29.39
2004,Goodman Creek,Riverine Estuary,"Washington, Oregon, Northern California Coast",-124.51,47.82,-124.51,47.83,21,WA,-124.512,47.828,,,,,,,,,,,,,P,P,P,1,999,5,2.5.1:0.01|2.6:0.46|2.7:0.62|2.8:7.03
2005,Mosquito Creek,Riverine Estuary,"Washington, Oregon, Northern California Coast",-124.48,47.8,-124.48,47.8,5,WA,-124.48,47.8,,,,,,,,,,,,,P,P,,1,999,5,2.6:0.01|2.7:0.04|2.8:0.99
2006,Hoh River,Riverine Estuary,"Washington, Oregon, Northern California Coast",-124.44,47.74,-124.37,47.75,451,WA,-124.405,47.747,,,,,,,,,,,,,P,P,P,1,1,1,2.6:0.68|2.7:2.55|2.7.1:114.68|2.8:3.31|2.8.1:106.16
2007,Cedar Creek,Riverine Estuary,"Washington, Oregon, Northern California Coast",-124.42,47.71,-124.41,47.71,5,WA,-124.415,47.711,,,,,,,,,,,,,P,P,,1,999,5,2.8:0.09
2008,Kalaloch Creek,Riverine Estuary,"Washington, Oregon, Northern California Coast",-124.38,47.61,-124.37,47.61,14,WA,-124.374,47.606,,,,,,,,,,,,,P,P,,1,999,5,2.6:1.12|2.7:0.48|2.8:2.91
2009,Queets River,Riverine Estuary,"Washington, Oregon, Northern California Coast",-124.36,47.53,-124.31,47.55,503,WA,-124.333,47.543,,,,,,,,,,,,,P,P,P,1,1,4,2.6:12.11|2.6.1:3.74|2.6.1.1:37.35|2.7:12.38|2.7.1:15.65|2.8:22.39|2.8.1:38.16
2010,Whale Creek,Riverine Estuary,"Washington, Oregon, Northern California Coast",-124.34,47.49,-124.34,47.49,5,WA,-124.344,47.49,,,,,,,,,,,,,,,,1,999,5,2.8:0.01
2011,Raft River,Riverine Estuary,"Washington, Oregon, Northern California Coast",-124.34,47.45,-124.32,47.47,107,WA,-124.334,47.462,,,,,,,,,,,,,P,P,,1,999,5,2.6:0.78|2.6.1.1:18.56|2.7:3.48|2.8:16.57|2.8.1:11.4
2012,Camp Creek,Riverine Estuary,"Washington, Oregon, Northern California Coast",-124.33,47.4,-124.32,47.4,7,WA,-124.328,47.399,,,,,,,,,,,,,,P,,1,999,5,2.8:0.01
2013,Duck Creek,Riverine Estuary,"Washington, Oregon, Northern California Coast",-124.33,47.39,-124.32,47.39,4,WA,-124.325,47.389,,,,,,,,,,,,,,,,1,999,5,
2014,Quinault River,Riverine Estuary,"Washington, Oregon, Northern California Coast",-124.3,47.33,-124.17,47.36,429,WA,-124.267,47.341,,,,,,,,,,,,,P,P,P,1,999,5,2.5:0.06|2.6:6.28|2.6.1:24.94|2.6.1.1:1.61|2.7:14.02|2.8:49.42|2.8.1:4.96
2015,Wreck Creek,Riverine Estuary,"Washington, Oregon, Northern California Coast",-124.24,47.28,-124.23,47.29,9,WA,-124.235,47.285,,,,,,,,,,,,,P,P,,1,999,5,2.6:0.02|2.8:0.01
2016,Moclips River,Riverine Estuary,"Washington, Oregon, Northern California Coast",-124.22,47.24,-124.2,47.25,58,WA,-124.214,47.244,,,,,,,,,,,,,P,P,,1,999,5,2.6:1.52|2.6.1.1:0.79|2.7:2.07|2.8:8.36
2017,Joe Creek,Riverine Estuary,"Washington, Oregon, Northern California Coast",-124.21,47.2,-124.18,47.21,60,WA,-124.196,47.207,,,,,,,,,,,,,,P,,1,999,5,2.6:4.35|2.7:1.28|2.8:18.64|2.8.1:2.48
2018,Elk Creek,Riverine Estuary,"Washington, Oregon, Northern California Coast",-124.2,47.19,-124.19,47.19,13,WA,-124.197,47.192,,,,,,,,,,,,,,,,1,999,5,2.7:0|2.7.1:7.48|2.8:0
2019,Boone Creek,Riverine Estuary,"Washington, Oregon, Northern California Coast",-124.19,47.16,-124.19,47.16,9,WA,-124.191,47.159,,,,,,,,,,,,,,,,1,999,5,2.6:0.06|2.7:0.19|2.8:0.68
2020,Copalis River,Riverine Estuary,"Washington, Oregon, Northern California Coast",-124.19,47.11,-124.14,47.14,543,WA,-124.165,47.122,,,,,,,,,,,,,P,P,P,1,999,5,2.6:81.64|2.6.1:75.81|2.6.1.1:97.02|2.7:20.36|2.8:66.21|2.8.1:19.18
2021,Connor Creek,Riverine Estuary,"Washington, Oregon, Northern California Coast",-124.18,47.05,-124.16,47.12,134,WA,-124.175,47.09,,,,,,,,,,,,,,,,1,999,5,2.6:13.45|2.7:13.25|2.8:13.77
2022,Grays Harbor,Riverine Estuary,"Washington, Oregon, Northern California Coast",-124.19,46.82,-123.52,47.14,82986,WA,-124.027,46.954,JP,JP,JP,,P,,JP,JP,JP,JP,JP,,JP,JP,JP,1,1,3,2.5:36584|2.6:2317.5|2.6.1:830.71|2.6.1.1:3764.8|2.7:1751.35|2.7.1:1278.06|2.7.1.1:31.92|2.8:2859.35|2.8.1:4818.61|2.8.1.1:2.52
2023,Willapa Bay,Riverine Estuary,"Washington, Oregon, Northern California Coast",-124.09,46.33,-123.65,46.81,106908,WA,-123.982,46.586,JP,JP,JP,,P,,JP,JP,JP,JP,JP,,JP,JP,JP,1,1,3,2.5:44506.9|2.6:5126.01|2.6.1:1292.07|2.6.1.1:8785.09|2.7:1022.55|2.7.1:312.6|2.7.1.1:3.56|2.8:1575.34|2.8.1:1315.18|2.8.1.1:9.53
2024,Loomis Lake Creek,Riverine Estuary,"Washington, Oregon, Northern California Coast",-124.06,46.41,-124.03,46.56,259,WA,-124.043,46.437,,,,,,,,,,,,,,,,3,999,5,2.6:44.88|2.7:7.71|2.8:6.52
2025,Columbia River - Reach A,Riverine Estuary,"Washington, Oregon, Northern California Coast",-124.09,46.05,-123.74,46.34,51655,ORWA,-123.936,46.222,JP,JP,JP,,P,,JP,JP,JP,JP,JP,,JP,JP,JP,2,2,2,2.5:152.36|2.6:7462.6|2.6.1:354.49|2.6.1.1:1618.31|2.7:1495.89|2.7.1:171.23|2.7.1.1:0.52|2.8:2725.25|2.8.1:258.63
2026,Columbia River - Reach B,Riverine Estuary,"Washington, Oregon, Northern California Coast",-123.9,46.15,-123.36,46.36,84250,ORWA,-123.63,46.223,JP,JP,JP,,P,,JP,JP,JP,JP,JP,,JP,JP,JP,2,2,2,2.5:601.5|2.6:7838.93|2.6.1:726.46|2.6.1.1:4311.64|2.7:1152.33|2.7.1:3901.56|2.7.1.1:72.62|2.8:1674.31|2.8.1:2607.67
2027,Columbia River - Reach C,Riverine Estuary,"Washington, Oregon, Northern California Coast",-123.48,46.09,-122.96,46.23,42735,ORWA,-123.229,46.15,JP,JP,JP,,P,,JP,JP,JP,JP,JP,,JP,JP,JP,2,2,2,2.5:203.6|2.6:15913.7|2.6.1:840.11|2.6.1.1:5.8|2.7:1776.66|2.7.1:1469.96|2.8:1750.02|2.8.1:1325.29
2028,Columbia River - Reach D,Riverine Estuary,"Washington, Oregon, Northern California Coast",-123.02,46.01,-122.83,46.21,10760,ORWA,-122.907,46.084,JP,JP,JP,,P,,JP,JP,JP,JP,JP,,JP,JP,JP,2,2,2,2.5:45.17|2.6:1234.37|2.6.1:80.76|2.7:612.74|2.7.1:5.87|2.8:437.12|2.8.1:20.23
